Stock,Date,Close,SMA_50,SMA_200,EMA_50,EMA_200,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ADX,+DI,-DI,ATR,Supertrend,Volume_Change,52W_High,52W_Low,Gap_Up,Gap_Down
RELIANCE.NS,2025-03-06,1209.5999755859375,1238.1829956054687,1374.2492645263671,1238.0842689059857,1352.6771910865318,46.76453205995697,-17.398529828930577,-2.931706987249342,1275.6396000839854,1218.4825012207032,1161.325402357421,26.595862214065964,20.298350693437033,27.180225728769383,24.30018331959164,1235.3696485112039,66.98000195057881,,,1,0
TCS.NS,2025-03-06,3601.60009765625,3968.09216796875,4072.3907019042967,3911.941839947738,4003.635287500209,31.806479992637588,-138.43393665608937,-17.851194001677527,4161.856611114042,3780.485009765625,3399.113408417208,43.40045637313477,13.395460832664018,37.12791463403297,76.40370298038873,3722.999952802148,11.368946885839293,,,1,0
INFY.NS,2025-03-06,1715.8499755859375,1856.9930004882813,1797.1530529785157,1833.3341386524314,1755.7474283181514,34.87043552182186,-46.100796177542406,-10.526434511595923,1947.628919726159,1804.565008544922,1661.501097363685,37.183401316608425,11.831155724594701,32.4625389525137,40.30584173851111,1806.9036427794008,29.69004674614235,,,1,0
HDFCBANK.NS,2025-03-06,1691.199951171875,1698.4430053710937,1685.9210015869141,1708.9176816366642,1655.3202284566191,47.23128119252146,-1.4181637621984464,-0.7676715624397314,1742.3231523294116,1706.2799926757812,1670.2368330221507,15.663948543322977,22.666982572943635,20.17989865688876,30.031053679122657,1651.803413836284,52.73416187790587,,,0,1
SBIN.NS,2025-03-06,732.0499877929688,749.571005859375,806.9227526855469,749.6718093934292,785.800028143083,50.19741665984646,-11.107761332521136,2.6271596829946198,752.333439760458,723.3275024414063,694.3215651223546,32.91758085343571,22.91062186868439,27.3306992124749,15.976882156133367,734.7911802023164,4.978806039114092,,,1,0
ITC.NS,2025-03-06,405.70001220703125,429.1050115966797,458.09486740112305,425.4372025530564,443.3044410928989,42.48994656879888,-8.693234445023336,0.9752763975275123,426.3808779413042,407.51061859130857,388.6403592413129,26.248395654077566,21.12836950999442,22.90703905182924,8.846509141736258,417.98310476844784,14.071908503392727,,,1,0
ICICIBANK.NS,2025-03-06,1218.050048828125,1246.1759985351562,1233.9077844238282,1246.161418623195,1214.5418827858468,41.85222765525856,-11.182544740644971,-2.598177224273279,1279.9498833171021,1238.179998779297,1196.4101142414918,21.306162805392198,11.889679874606871,20.328451237892143,19.9628636996215,1270.386374774699,31.9935631292082,,,1,0
HINDUNILVR.NS,2025-03-06,2218.949951171875,2339.9150048828124,2542.0778491210935,2330.1667438671893,2449.1422352104164,39.33158814894788,-50.19233018435398,-7.136646295301297,2401.9332292200525,2270.5324951171874,2139.1317610143224,20.365570200736467,19.011808381796918,27.665537900106475,48.248078926020064,2295.30616233661,62.06692485552161,,,1,0
BAJFINANCE.NS,2025-03-06,8410.849609375,7851.117001953125,7202.90779296875,7969.098518163837,7336.284465605161,55.331175441679214,170.88627453798472,-46.07800794672255,8680.673125777332,8430.289990234374,8179.906854691416,31.57830399764825,22.83037918812166,21.652716782881992,205.95052131439434,8052.4409058903875,-45.930168358595715,,,1,0
BHARTIARTL.NS,2025-03-06,1626.9000244140625,1629.7989965820314,1561.7448181152345,1630.6652847534042,1532.226980264581,48.898218380393956,-9.815896172251314,-6.701891463668282,1736.4435538082678,1649.0750122070312,1561.7064706057947,19.468894243494848,17.793857311239016,25.415764065851473,39.3260032367285,1695.6925677703919,-17.815413574143125,,,0,1
KOTAKBANK.NS,2025-03-06,1921.699951171875,1879.2850024414063,1807.73744140625,1891.8120879584403,1815.9876792725968,50.04829652175097,10.305321750810435,-9.294543832002411,1990.831320631079,1943.570001220703,1896.308681810327,20.26287099566975,22.062896330976546,18.45926766653065,38.331483823894736,1857.3438363914424,36.2357832015632,,,1,0
LT.NS,2025-03-06,3259.89990234375,3417.0849658203124,3572.512678222656,3386.9753371718853,3525.153609667881,45.409580882970886,-56.56973039604236,9.892060500474486,3353.0232442380047,3256.224963378906,3159.4266825198074,29.33267166042102,16.83988999943744,23.66510707764459,71.80328136014545,3391.598642611496,-4.6879649305832105,,,1,0
HCLTECH.NS,2025-03-06,1585.449951171875,1763.1739721679687,1698.9769305419923,1726.9733214279993,1669.4336999414365,33.697928376925006,-53.20244112136311,-7.602323868282326,1794.2983434434616,1666.225,1538.1516565565382,38.1711152950128,13.04575068752726,34.62853558089475,38.34634736219404,1657.9660625157305,-35.366675417729354,,,1,0
MARUTI.NS,2025-03-06,11666.400390625,12136.87,12080.2809765625,12127.437141591423,12143.497354266925,32.4951405184027,-155.66729900153223,-148.1616529581578,13342.53412305573,12428.932470703125,11515.33081835052,27.996373896980412,17.677085222528948,31.645012936609106,251.89034326515235,12363.700816957193,-9.888199468161151,,,1,0
AXISBANK.NS,2025-03-06,1034.0999755859375,1016.9999987792969,1144.3601345825195,1028.9283507679324,1105.0172282248154,60.014102212355134,0.5303313729726824,3.289903216147595,1029.6682877266683,1010.5075012207031,991.346714714738,16.642939655386833,26.31137088090581,19.1764450372862,20.109516817929983,967.807982429682,53.11722748108494,,,1,0
WIPRO.NS,2025-03-06,285.8999938964844,299.8439782714844,271.25987060546873,297.9353296928261,272.3548579212269,40.12349887690886,-5.83097101040039,-2.975358785922458,329.011429620008,301.95999908447266,274.9085685489373,24.42611085686445,17.025516156208198,30.00513172111282,8.413146667018891,305.15884721929024,-4.911074702461049,,,1,0
