Stock,Price,RSI,MACD,SMA_50,SMA_200,EMA_50,EMA_200,BB_upper,BB_lower,ADX,ATR,Supertrend,Support,Resistance,Volume_Spike,52_Week_High,52_Week_Low,Gap_Up,Gap_Down
RELIANCE.NS,1209.5999755859375,46.76453205995697,-17.398529828930577,1238.1829956054687,1374.2492645263671,1238.0842689059857,1352.6771910865318,1275.6396000839854,1161.325402357421,26.595862214065964,24.30018331959164,1258.234523210251,1161.9000244140625,1305.449951171875,False,,,True,False
TCS.NS,3601.60009765625,31.80647999286213,-138.43393665630447,3968.09216796875,4072.390704345703,3911.9418399952824,4003.6352927876424,4161.856611114042,3399.113408417208,43.40045637560882,76.40370298036699,3797.4332866789036,3483.25,4223.76953125,False,,,False,False
INFY.NS,1715.8499755859375,34.87043463331298,-46.10080045464156,1856.9930004882813,1797.5773431396485,1833.339592126548,1757.844163148705,1947.628919726159,1661.501097363685,37.18338015584724,40.305841853964814,1847.7048570405289,1687.699951171875,1966.949951171875,False,,,False,False
HDFCBANK.NS,1691.199951171875,47.23128119252146,-1.4181637621984464,1698.4430053710937,1685.9210015869141,1708.9176816366642,1655.3202284566191,1742.3231523294116,1670.2368330221507,15.663948543322977,30.031053679122657,1753.533505441341,1629.800048828125,1798.25,False,,,False,False
SBIN.NS,732.0499877929688,50.19741665984646,-11.107761332521136,749.571005859375,806.9227526855469,749.6718093934292,785.800028143083,752.333439760458,694.3215651223546,32.91758085343571,15.976882156133367,750.1549028674114,688.7999877929688,801.2000122070312,False,,,False,False
ITC.NS,405.70001220703125,42.489946568805536,-8.693234445020948,429.1050115966797,458.09486724853514,425.4372025520759,443.3044409040621,426.3808779413042,388.6403592413129,26.248395653506186,8.846509141736826,425.63580330617265,394.8500061035156,481.4505920410156,False,,,False,False
ICICIBANK.NS,1218.050048828125,41.85222765525856,-11.182544740644971,1246.1759985351562,1233.9077844238282,1246.161418623195,1214.5418827858468,1279.9498833171021,1196.4101142414918,21.306162805392198,19.9628636996215,1290.0318289639217,1196.1500244140625,1307.550048828125,False,,,True,False
HINDUNILVR.NS,2218.949951171875,39.33410575292557,-50.17751911855839,2339.9150048828124,2536.5420581054686,2329.8304855013,2444.517397751728,2401.9332292200525,2139.1317610143224,20.319930184465484,48.24768994264152,2341.0747492526393,2157.35009765625,2506.050048828125,False,,,False,False
