Stock,Date,Price (₹),RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_Upper,BB_Lower,BB_Middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support (₹),Resistance (₹),Volume,Volume_SMA_20,Volume_Spike,52_Week_High (₹),52_Week_Low (₹),52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change (%),1w_Change (%),1m_Change (%),Stoch_K,Stoch_D,Williams_%R,CMF
AAATECH.NS,2025-03-20,75.45999908447266,41.308554225053655,-5.475487969080405,-5.561434567838876,0.0859465987584711,Bullish,88.86460021972657,109.8101309967041,Bearish,87.21836305149692,104.2980964248914,Bearish,89.10942464028282,66.13357615317422,77.62150039672852,Middle,33.54072296125145,5.147633095135967,87.23857565034376,Sell,67.80000305175781,101.80000305175781,40817,30553.15,False,146.22999572753906,67.80000305175781,False,False,False,False,4.8929615285089545,5.435237398680259,-12.31698672417938,32.07348043850692,19.990233869962257,-47.444449530707466,-0.29774174522554836
3MINDIA.NS,2025-03-20,28028.849609375,53.2900489684808,-52.73689275286597,-239.31592920872987,186.5790364558639,Bullish,28229.9610546875,33208.228515625,Bearish,28362.976406073416,31554.52162098708,Bearish,28635.30183234989,25933.013402025106,27284.1576171875,Middle,19.285860218715836,867.6387515305631,29175.2753893919,Sell,25982.5,30594.80078125,5026,4819.65,False,40020.6015625,25982.5,False,False,False,False,-1.1108275138861146,0.2810303500479394,5.063534033192152,75.69956783658479,69.35524988880171,-22.509174819696696,0.11080966762767058
5PAISA.NS,2025-03-20,339.75,43.72661497442247,-15.103659292642192,-16.535521369418344,1.4318620767761523,Bullish,378.7179998779297,473.6574987792969,Bearish,378.24291434588656,457.9904782184766,Bearish,379.0312528498403,311.0987459294566,345.06499938964845,Middle,42.31950944874993,16.624623990460275,376.9168878264012,Sell,315.79998779296875,447.20001220703125,40946,25985.9,False,592.2999877929688,315.79998779296875,False,False,False,False,0.7562241105149026,0.681578814570516,-3.9304380422392926,37.24692833925234,21.52281605446433,-45.17071979801829,-0.21249681607878423
A2ZINFRA.NS,2025-03-20,16.459999084472656,43.58348580700273,-0.7008439062308973,-0.8568508702925564,0.15600696406165904,Bullish,19.056800060272217,19.249350061416624,Bearish,18.32194386707011,18.336792660237975,Bearish,18.22566515812564,15.100334960129972,16.663000059127807,Middle,16.449569576597703,1.021664141569729,20.04963204494249,Sell,15.270000457763672,23.540000915527344,106600,200715.05,False,26.6200008392334,12.300000190734863,False,False,False,False,1.8564309399333956,-0.9030795928172575,-2.7761441951034027,49.81376272464507,51.96819639452941,-48.60338692821844,-0.0813484080922333
360ONE.NS,2025-03-20,924.0999755859375,45.95211283166006,-35.14188394289215,-36.239789613566415,1.0979056706742654,Bullish,1010.8199951171875,1041.019737854004,Bearish,994.2634561948436,985.3274386763758,Bullish,1059.2969603007148,824.5730348164727,941.9349975585938,Middle,20.211062691469255,43.63536650843493,1011.981604960962,Sell,846.3499755859375,1216.5,358486,1203991.7,False,1297.1500244140625,645.7691040039062,False,False,False,False,0.032473240629227185,9.186507029337697,4.459385076940925,36.62228720727358,24.42411012381599,-46.977013033241136,-0.12628849143639012
3PLAND.NS,2025-03-20,39.220001220703125,34.33653236068052,-2.0272199431237112,-2.264509036145374,0.2372890930216629,Bullish,46.92740005493164,44.82355005264282,Bullish,45.86449002257961,42.87066267285912,Bullish,44.26412209872986,38.525878435327755,41.395000267028806,Middle,29.59253788508501,2.3214494807800667,48.51583206295933,Sell,39.130001068115234,58.15999984741211,14522,6878.3,True,78.16000366210938,27.0,False,False,False,False,-3.160490813078709,-5.607696893238878,-9.83907765355604,27.410359671013165,28.23942161812171,-82.28066664837397,-0.25113412020515796
63MOONS.NS,2025-03-20,756.0999755859375,56.043254248562874,-0.32102306791489355,-8.194325690255413,7.873302622340519,Bullish,739.7779956054687,559.6875706481934,Bullish,728.1599835178574,575.3645202345208,Bullish,772.2002621694454,645.8597231821171,709.0299926757813,Middle,11.237204625704443,39.90760690126642,602.3977051599304,Buy,613.9500122070312,896.2999877929688,282155,215464.8,False,1031.6500244140625,323.2314758300781,False,False,False,False,-0.486971869765207,10.058220609306767,22.783369693754764,66.34960439373822,50.06393610312286,-17.04038901914988,-0.15629260950325619
3IINFOLTD.NS,2025-03-20,22.739999771118164,37.67613477590179,-1.1991372538026646,-1.2137007554398216,0.014563501637157028,Bullish,26.217200088500977,30.98119997024536,Bearish,25.698311295871825,30.99323758418664,Bearish,26.40933641900527,21.181663947205664,23.795500183105467,Middle,28.316266590234658,1.144135942561497,26.304335318893987,Sell,22.020000457763672,30.670000076293945,621455,637066.15,False,45.349998474121094,22.020000457763672,False,False,False,False,-0.08787547259464512,0.7978737120429402,-7.2971906458276115,24.47749646213104,17.233043588123987,-65.86828330636014,-0.22333479287914387
21STCENMGM.NS,2025-03-20,63.79999923706055,29.37285780847976,-3.3001437459702316,-3.339139927424123,0.0389961814538915,Bullish,75.79320007324219,90.68057384490967,Bearish,75.0998510569504,80.08477229846868,Bearish,71.74477015334624,63.02423085373384,67.38450050354004,Middle,48.09024693438777,2.0506027395208846,70.85892405668557,Sell,62.630001068115234,89.98999786376953,4485,4486.75,False,138.6300048828125,39.89883804321289,False,False,False,True,1.8681113667439408,-4.3334879270470195,-9.026091921098589,10.875754412523749,9.71575169942983,-79.69992175326556,-0.26545391439681315
20MICRONS.NS,2025-03-20,201.61000061035156,57.62924522088357,1.5209020731433611,-0.7492424494146102,2.2701445225579713,Bullish,196.35380096435546,242.80516708374023,Bearish,199.27209174184227,219.0215640186682,Bearish,210.7056231292093,165.58337833563445,188.14450073242188,Middle,23.033240459538963,11.123698558761857,210.86752774666652,Sell,167.6699981689453,240.57000732421875,53427,104754.75,False,339.0,142.1924591064453,False,False,False,False,0.22868840558052383,3.1094982197168886,20.242143980468175,60.07976180050458,52.52902492953259,-30.641237065759984,-0.03980240072510867
