Stock,Date,Price,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_upper,BB_lower,BB_middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support,Resistance,Volume,Volume_SMA_20,Volume_Spike,52_Week_High,52_Week_Low,52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change_Pct,1w_Change_Pct,1m_Change_Pct,Stoch_K,Stoch_D,Williams_%R,CMF
5PAISA.NS,2025-03-28,355.3500061035156,48.75639471893943,-1.3882243945981259,-7.142684407902459,5.7544600133043335,Bullish,371.5779998779297,469.14174896240235,Bearish,376.39715934800813,454.4870436848094,Bearish,386.1159733554988,306.6490290859075,346.38250122070315,Middle,32.075851721681865,21.6078689060016,307.2403104772747,Buy,315.79998779296875,426.6499938964844,116399,51781.85,True,,,False,False,False,False,-4.884903560452125,0.8657446540529579,0.22564330506027463,60.281701602846226,68.6164707411353,-50.76054962588028,0.00926136509939076
63MOONS.NS,2025-03-28,814.0999755859375,60.51787769080882,26.50074197853985,13.131780822540414,13.368961155999436,Bullish,736.5559973144532,573.9971784973145,Bullish,747.1849282601592,585.7279061896016,Bullish,853.106452172627,634.1535392824511,743.629995727539,Middle,20.683344763028803,38.70312033619175,681.3656987609222,Buy,613.9500122070312,857.9500122070312,90669,216493.45,False,,,False,False,False,False,-1.9983190534679562,3.48289855774091,11.896088137602634,77.17015897335195,80.93384107215938,-26.91798183106141,-0.10905753135272002
AADHARHFC.NS,2025-03-28,424.8500061035156,57.08264432139285,6.26642966757754,6.575083821401192,-0.30865415382365136,Bearish,398.3729992675781,422.2157502746582,Bearish,407.3259165372439,415.62893863734087,Bearish,448.81423193617997,376.0207686741716,412.4175003051758,Middle,22.204805931786787,17.370536689853612,367.50251804826803,Buy,364.1499938964844,443.20001220703125,1071741,1064410.65,False,,,False,False,False,False,0.31877357816190166,1.7726658713844712,10.883469364819387,42.67602471785009,40.305367819613544,-47.53087078695783,0.011030497835014965
AARON.NS,2025-03-28,326.6499938964844,37.47946356438212,-3.299608171765442,-1.027891609841807,-2.2717165619236352,Bearish,346.3729992675781,304.88007736206055,Bullish,343.7726240773379,308.10978177224416,Bullish,360.2083183705029,329.84668040879393,345.0274993896484,Lower,14.362295552104605,14.752786125193815,306.7938727801996,Buy,313.04998779296875,379.75,6384,6741.1,False,,,False,False,False,False,-1.7446286953164414,-4.376467195524847,-8.514212277220823,5.567558925236473,7.235615162814067,-95.79366048177084,-0.35369433849911885
AARTIPHARM.NS,2025-03-28,749.25,53.07931325286229,6.628144009379639,10.884261745833706,-4.256117736454067,Bearish,708.8391186523437,648.8227813720703,Bullish,718.827971685843,647.3162083456722,Bullish,778.8427613175286,712.0422362410652,745.4424987792969,Middle,16.144823854111184,35.47128664496495,641.8100009986363,Buy,582.5650024414062,808.9000244140625,389376,557264.75,False,,,False,False,False,False,0.43565683646111797,-1.5569538780782044,1.2158054711246091,39.207486200247295,31.30218909305735,-53.106338977686804,-0.016443244541383968
AAVAS.NS,2025-03-28,2084.050048828125,82.26196588138698,92.47868106131318,70.41483754896304,22.063843512350147,Bullish,1760.9279931640624,1739.4485021972657,Bullish,1800.464284783076,1726.169883461484,Bullish,2138.328817510316,1582.221194696715,1860.2750061035156,Middle,37.863464900058425,60.14943483551118,1794.0754986796026,Buy,1638.25,2087.199951171875,326482,645351.55,False,,,False,False,False,False,-0.15091521739358793,5.19926288893755,23.29103907051655,94.68436756002261,91.4324570134591,-4.929400275735296,0.00776121109022272
ABCAPITAL.NS,2025-03-28,185.07000732421875,70.4714328812801,5.944819180798447,3.2871089294004614,2.657710251397986,Bullish,166.8054000854492,200.60795028686525,Bearish,170.74410309353632,195.03960805320744,Bearish,191.27185423582918,144.37814881592865,167.82500152587892,Middle,28.81331062729501,5.63312885805319,163.19926236895492,Buy,152.32000732421875,185.52000427246094,2919014,5271729.7,False,,,False,False,False,False,-0.07558953867148333,-0.2425597983392147,17.378074125372912,88.65069266715317,86.69307087435368,-7.8544986844424685,0.25819772220361814
ABBOTINDIA.NS,2025-03-28,30720.55078125,56.87419390362937,367.97559767179337,419.06377136691185,-51.088173695118485,Bearish,29053.275078125,28556.957939453125,Bullish,29639.085892150084,28381.853367901545,Bullish,31604.144783454478,29602.435489983025,30603.29013671875,Middle,12.283262048288101,780.4504838336511,27837.973830736682,Buy,25501.849609375,31539.900390625,5774,11809.0,False,,,False,False,False,False,0.4952718302286607,1.4143990591606315,2.5257211839305738,54.85473452707611,56.92694179252882,-35.79318792936045,0.1377082689675878
ACI.NS,2025-03-28,517.9000244140625,45.77796430520634,0.0485939941753486,3.0395455251720565,-2.990951530996708,Bearish,530.9120001220704,652.6768971252442,Bearish,545.736855780007,620.9835531550874,Bearish,579.415294602919,493.0547066177842,536.2350006103516,Middle,19.520450986518266,30.569212010939886,455.3848160181874,Buy,417.20001220703125,605.4500122070312,826021,531089.4,False,,,False,False,False,False,-1.07916407423172,-7.945245842807013,2.859984987897213,26.532199357588848,26.406595695437286,-70.20168689211094,0.16089442927598036
ADANIGREEN.NS,2025-03-28,948.6500244140625,58.27818773492022,12.501586865855302,-0.9143923392965085,13.41597920515181,Bullish,923.365,1432.0410018920898,Bearish,942.9860002274502,1369.1574942150564,Bearish,993.45105840174,760.0439611295099,876.747509765625,Middle,24.069625731296,40.77562431663798,798.3798866967637,Buy,768.5499877929688,1078.199951171875,4083088,7940640.5,False,,,False,False,False,False,-1.1719970532209523,-0.586845751735654,16.86480128291499,75.63090351341808,73.69058430034809,-19.6044921875,-0.1023791361047127
ADANIENSOL.NS,2025-03-28,872.0,73.38402283760277,33.57844951685718,23.34359923586519,10.234850280991985,Bullish,753.3910009765625,903.4034988403321,Bearish,771.7921854560201,892.239913752647,Bearish,903.3979152048515,643.1970799123359,773.2974975585937,Middle,37.333569603807014,34.106341053721785,739.5062815049081,Buy,646.6500244140625,872.8499755859375,3727492,2974083.85,False,,,False,False,False,False,-0.09737934464246756,4.845495635623132,31.781771786815472,82.6022322736696,81.7154808632424,-14.595296909341993,0.13406713390835212
ADANIPOWER.NS,2025-03-28,509.29998779296875,50.94036349985213,3.6429418539879066,3.5886552101189206,0.05428664386898596,Bullish,505.1599981689453,594.677999572754,Bearish,509.40705180274966,580.668821408039,Bearish,532.3457008645636,482.014299745788,507.1800003051758,Middle,23.682416474810957,18.95217797287364,462.5221899661844,Buy,470.1000061035156,551.2999877929688,5174247,4860305.65,False,,,False,False,False,False,-2.0388605738267063,-2.4516353938924595,2.423325850773006,31.535041514152397,34.92307043575827,-65.51376644084277,-0.2634669451080614
ADANIPORTS.NS,2025-03-28,1182.949951171875,60.15588867998367,21.605119729054422,16.19562823412747,5.409491494926954,Bullish,1120.484990234375,1314.5412225341797,Bearish,1146.0687511149213,1274.1750589444273,Bearish,1229.7342764736195,1056.0457162021617,1142.8899963378906,Middle,23.761448094660334,33.08361657239651,1071.222620737705,Buy,1053.050048828125,1200.800048828125,1670913,2224559.65,False,,,False,False,False,False,-1.153127121631503,-0.4921010612353838,9.639001316700835,77.25440760734627,80.18128872428498,-27.14957834404206,0.04053116496631704
AETHER.NS,2025-03-28,831.0,43.60947092347508,0.9649099147430888,8.294235782757196,-7.329325868014108,Bearish,839.0530029296875,877.6772497558594,Bearish,851.1863063307379,861.5230506905864,Bearish,937.7817726306081,819.0582237072825,878.4199981689453,Middle,23.829552999681503,31.94844451984047,750.9951576663267,Buy,746.6500244140625,932.9500122070312,67474,115199.2,False,,,False,False,False,False,-0.4611577766694408,-4.947097512153276,1.6202996025680205,5.621257577881434,8.063685151758428,-93.07359307359307,0.23625664860711254
AEGISLOG.NS,2025-03-28,805.4500122070312,54.20632835241098,18.361690521407468,9.453009441845523,8.908681079561944,Bullish,750.0129992675782,789.6408340454102,Bearish,770.6690262056661,788.2949169214005,Bearish,848.0123578843192,697.5176408949777,772.7649993896484,Middle,15.795020621033018,52.70246770447106,654.4307816673736,Buy,635.8499755859375,902.5999755859375,2994223,1135495.75,True,,,False,False,False,False,-10.763346555138087,1.2253361631799464,5.38401479409798,65.6405674609649,70.84424376090605,-57.753219546920235,0.05523024818052487
AGARIND.NS,2025-03-28,972.75,44.38029115162977,1.8025475645044935,-2.1480279099629733,3.950575474467467,Bullish,1026.775,1140.7290670776367,Bearish,1033.4663213773608,1070.6546082566247,Bearish,1109.493620022956,865.7313982875909,987.6125091552734,Middle,22.026634849039834,49.465863491967234,902.2686814895005,Buy,875.7000122070312,1186.199951171875,31017,27405.75,False,,,False,False,False,False,-2.6324996861337047,-8.416892374820616,6.954370533260024,32.57751856965903,51.437608368195065,-85.13071895424837,0.15041740560827785
AHLUCONT.NS,2025-03-28,819.2000122070312,65.89458024525561,25.203658352893058,12.883484315130252,12.320174037762806,Bullish,748.0140026855469,1060.1020715332031,Bearish,783.9045540837034,997.1602829025582,Bearish,865.436035687245,631.7789728576769,748.6075042724609,Middle,33.4606370059931,29.86310830712972,712.9141779792975,Buy,634.2000122070312,856.25,95620,109986.8,False,,,False,False,False,False,1.167028367648193,0.024421514900030417,26.147209949087234,79.9845776127717,84.58678833466486,-16.91392652355499,0.3166835031966395
AJMERA.NS,2025-03-28,900.7000122070312,55.27901555061954,14.224494938439648,-1.107623173198533,15.33211811163818,Bullish,876.7639990234375,842.3674984741211,Bullish,882.7240662944705,835.4387275457059,Bullish,964.9588906295705,701.6661032669138,833.3124969482421,Middle,28.65512663315535,52.82787006989219,736.8192982145512,Buy,732.0999755859375,999.8499755859375,31228,70940.35,False,,,False,False,False,False,-1.6166016158349228,-6.054757527297916,17.753952602759536,60.419921557250554,62.84823043544014,-39.44605647681645,0.02423430105159152
AKZOINDIA.NS,2025-03-28,3598.0,62.86571353333735,32.34471131717737,-28.06303117252991,60.40774248970728,Bullish,3453.0839990234376,3437.3557751464846,Bullish,3407.664817700044,3280.5030203200026,Bullish,3582.370258972045,2957.659745910767,3270.015002441406,Upper,22.981963623936753,140.12148326470657,3019.2345003088526,Buy,3110.25,3861.5,17679,15433.05,False,,,False,False,False,False,-3.2132228474043067,6.59634988673774,11.229615889945133,78.10132029610939,81.07268148987862,-29.23897097331365,0.22718620220215094
AMBER.NS,2025-03-28,7210.85009765625,64.11215544713914,227.2927016582198,145.25311074756587,82.03959091065394,Bullish,6440.312958984375,5589.932486572266,Bullish,6513.547476972004,5517.107786662676,Bullish,7501.067235591385,5516.242725346116,6508.65498046875,Middle,25.811662109137384,319.3297099819841,6003.521102049925,Buy,5514.25,7248.5,511573,646309.4,False,,,False,False,False,False,1.1155090256682376,4.648399649485979,21.199928303398742,79.09749069767366,75.30230580467655,-11.500869801241166,0.12914517200698047
AMDIND.NS,2025-03-28,45.25,48.1930934919028,-0.6094322499296254,-1.43958852915093,0.8301562792213046,Bullish,49.76900024414063,63.87620025634766,Bearish,49.14623750463283,60.556818058930105,Bearish,51.57700788780909,36.34699304297705,43.96200046539307,Middle,28.16901269343372,3.7138499414424637,38.5321465694471,Buy,40.13999938964844,60.7400016784668,48236,34976.2,False,,,False,False,True,False,3.7130389461958124,-2.8344421375869677,2.259887005649719,32.85115404577797,49.713484540347686,-66.85534621373338,-0.06649394006754325
AMIORG.NS,2025-03-28,2440.800048828125,57.68801481074705,41.025746571317086,28.165485145775754,12.860261425541331,Bullish,2280.975,1829.4343212890626,Bullish,2280.798170936187,1846.6006212281745,Bullish,2553.545103641323,2103.6999403039895,2328.622521972656,Middle,16.53161301481991,120.72601950605696,2095.185216046522,Buy,1881.8499755859375,2626.699951171875,287308,286230.75,False,,,False,False,False,False,1.7720885266531372,0.7096860240477953,9.945948145411032,66.04082999940438,68.76734908802621,-26.24692045941893,0.1173636840409238
AMBUJACEM.NS,2025-03-28,538.3499755859375,68.535862358281,9.790171194076152,3.532095923638656,6.258075270437495,Bullish,505.46399780273435,579.4364367675781,Bearish,509.93364988777375,567.2434965721994,Bearish,542.969221000327,459.24077045475104,501.10499572753906,Middle,27.73554365788348,14.760129829819844,485.29635352307537,Buy,464.95001220703125,551.7999877929688,1557007,2481961.25,False,,,False,False,False,False,-0.8198254066152488,4.635563767917872,14.591313234170912,88.86388301702529,86.75481880025791,-18.98473654074946,0.14994035764374922
ANGELONE.NS,2025-03-28,2313.199951171875,56.8709411010854,20.616377656939676,-20.944081809058478,41.56045946599815,Bullish,2251.9189501953124,2528.6507763671875,Bearish,2295.5237235468576,2481.386875751366,Bearish,2437.277654630416,1834.296661775834,2135.787158203125,Middle,23.115269584438128,99.74612402319005,1972.0490667874662,Buy,1943.8001708984375,2563.706787109375,1120190,1347354.1,False,,,False,False,False,False,-0.21783883654157288,-1.0099322647688758,5.872254922961351,78.6252583690188,79.37406078475846,-22.491180609677997,-0.05066962798225836
ANIKINDS.NS,2025-03-28,122.0199966430664,69.63334605466315,4.7090743902684835,1.5230458796712114,3.1860285105972723,Bullish,97.53279998779297,87.49390012741088,Bullish,99.76563124890484,84.54890943987434,Bullish,117.50504566058108,79.20295528546386,98.35400047302247,Upper,20.28607313825601,8.037726358493689,88.63534613524601,Buy,90.3499984741211,122.0199966430664,44860,22030.65,True,,,False,False,False,False,4.639392851726476,22.423998078375405,28.078094827923785,76.32592472029322,74.87265654159114,-2.9037136501736116,0.2295594688658363
ANURAS.NS,2025-03-28,759.4000244140625,56.45262465769094,16.084610801139547,19.909969787642446,-3.8253589865028985,Bearish,711.6320007324218,740.4053125,Bearish,728.6072611542254,746.8468979723709,Bearish,828.4395869017989,688.7104192017167,758.5750030517578,Middle,20.341364807950374,29.961688410299843,661.9988791988989,Buy,628.25,790.25,91204,383683.05,False,,,False,False,False,False,1.5919765102424766,-1.4598066104719254,20.875451558147628,30.98866349481533,38.36875403732176,-63.08849290337215,0.18744048238194874
