Stock,Date,Price,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_upper,BB_lower,BB_middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support,Resistance,Volume,Volume_SMA_20,Volume_Spike,52_Week_High,52_Week_Low,52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change_Pct,1w_Change_Pct,1m_Change_Pct,Stoch_K,Stoch_D,Williams_%R,CMF
5PAISA.NS,2025-03-07,357.70001220703125,43.274410305839844,-16.16747246093064,-17.39767358415363,1.2302011232229901,Bullish,400.51300048828125,481.39249908447266,Bearish,395.9555168811092,466.9856653313786,Bearish,396.962132623892,328.1478649347017,362.55499877929685,Middle,48.21848945277979,17.993040271673756,405.86945705060754,Sell,327.6000061035156,482.20001220703125,23065,25188.55,False,,,False,False,False,False,1.446399890877581,2.3901548468962863,-10.608517390215077,38.29844288290997,23.635711776709798,-48.95328648729933,-0.20759962867549647
63MOONS.NS,2025-03-07,756.0999755859375,55.13157360315321,-8.295467551250454,-19.41649962884018,11.121032077589728,Bullish,769.4149975585938,545.5936114501953,Bullish,732.8826872967813,572.9638963641205,Bullish,791.3834872062185,607.7815091316721,699.5824981689453,Middle,13.255215525612396,42.86313134951173,759.1698863256192,Sell,613.9500122070312,949.5999755859375,410765,201039.2,True,,,False,False,False,False,4.347226202226673,9.389462128578074,-0.2506628514594378,72.95424666319697,62.68649378534682,-17.409821768759905,-0.2246314819745611
20MICRONS.NS,2025-03-07,204.3300018310547,60.79334310695429,-2.297666896638418,-7.295516581882285,4.9978496852438665,Bullish,204.25320098876952,241.85220695495605,Bearish,200.6079504850619,219.03325092397276,Bearish,199.8539365872946,158.05806597618195,178.95600128173828,Upper,25.8706993290197,11.899212761878346,210.86752774637063,Sell,167.6699981689453,261.0299987792969,136914,133411.2,False,,,False,False,False,False,-1.5846225621360954,18.7481798882305,7.451618582277497,84.39510467723987,74.9397332021207,-17.64933289191023,-0.002692643815291822
21STCENMGM.NS,2025-03-07,68.05000305175781,33.09627427260872,-3.3087960372357514,-3.749938435675766,0.44114239844001446,Bullish,79.83080001831054,89.88412940979003,Bearish,78.81792077644567,80.52567635683177,Bearish,79.56074694866436,63.21925335651142,71.39000015258789,Middle,47.65226167252151,1.98549839528208,73.1807843260837,Sell,65.98999786376953,93.0,7072,3590.55,False,,,False,False,False,False,-1.860388454373052,-4.705223971490147,-14.926859771076195,39.1725917531226,36.71877337574343,-69.88298255613569,-0.24526662413950331
3IINFOLTD.NS,2025-03-07,24.450000762939453,41.46032525828757,-1.1229676394440773,-1.0514518223868055,-0.07151581705727184,Bearish,27.47180004119873,31.545349950790406,Bearish,26.879245031398003,31.789216193721096,Bearish,29.131565748166718,22.030434717226345,25.581000232696532,Middle,21.81815222811214,1.3208975074877887,28.615418840417572,Sell,22.93000030517578,33.66999816894531,492333,634569.75,False,,,False,False,False,False,0.4932216999987471,3.034139210249953,-19.8885963426653,35.88742742871895,24.521603764074694,-55.47942610568542,-0.30217175721905987
AAATECH.NS,2025-03-07,82.76000213623047,39.18242087038459,-4.472249147609247,-4.646579483269198,0.17433033565995082,Bullish,94.1884001159668,111.36125106811524,Bearish,93.16391217993458,106.11841173518901,Bearish,97.50150866117248,73.67949033174743,85.59049949645996,Middle,29.716359216919425,5.13608747167944,100.11358531198455,Sell,77.88999938964844,106.66000366210938,6783,19553.75,False,,,False,False,False,False,1.6957543983629808,4.958787238775475,-18.66338856390126,30.92038157408183,20.813776041088065,-55.54043968343457,-0.38248320130123475
3PLAND.NS,2025-03-07,42.2400016784668,40.36096586041336,-2.6368810774334506,-2.8605585674437095,0.22367749001025894,Bullish,50.06500007629395,44.422750034332275,Bullish,47.90188519627483,43.25145358302784,Bullish,48.53099162906972,38.45100910335216,43.49100036621094,Middle,34.26220247362374,2.7332042897356237,50.142602536970784,Sell,39.130001068115234,62.63999938964844,9422,5590.45,False,,,False,False,False,True,1.660655725814797,1.9305093587580258,-13.24706742691102,40.522194979144295,26.900491571574573,-48.26698176682653,-0.05986688686711117
360ONE.NS,2025-03-07,972.9000244140625,44.28944489275059,-19.4252490354271,-26.90042894301508,7.475179907587979,Bullish,1071.1139978027343,1037.7758200073242,Bullish,1037.3766073579598,993.5840305768937,Bullish,1049.6200356870745,890.689967975035,970.1550018310547,Middle,16.940367375829,44.81041945277351,1097.2711183268198,Sell,884.6500244140625,1297.1500244140625,521660,931482.85,False,,,False,False,False,False,0.6882302110284622,-2.5443217158662157,-3.644645671790203,53.80669616799879,55.60797049139456,-46.847052705396614,-0.10395794418952126
A2ZINFRA.NS,2025-03-07,17.3799991607666,45.40018090504731,-1.0645303593172777,-1.1517656872624071,0.08723532794512945,Bullish,20.385600128173827,19.25745006084442,Bullish,19.003367401896742,18.544316069141114,Bullish,20.867938339467365,14.542061889414468,17.705000114440917,Middle,17.88339279655107,1.1374995266930281,20.049632044881825,Sell,15.270000457763672,26.6200008392334,299811,213089.15,False,,,False,False,False,False,1.6374197254421796,10.349201020740328,-17.66935737441858,44.89444139422028,31.190284115006722,-43.20988744483749,-0.16306436812935676
3MINDIA.NS,2025-03-07,27723.30078125,50.67201641000615,-446.0060709669451,-654.3028903799435,208.2968194129984,Bullish,28679.5110546875,33348.18604492187,Bearish,28581.53438969401,31618.187835463497,Bearish,28402.697360497586,25849.567873877415,27126.1326171875,Middle,27.61698026638118,902.0308947275227,29175.2753882889,Sell,25982.5,30958.05078125,4144,7615.85,False,,,False,False,False,False,-0.6507803533891465,5.42260976463691,-2.6767722131297633,75.09802969860806,55.48725810397437,-27.78263539564418,-0.006414557777667083
AAKASH.NS,2025-03-07,8.5600004196167,42.50416190773276,-0.4269348256463843,-0.4355917712865449,0.008656945640160618,Bullish,9.547999982833863,11.491549999713898,Bearish,9.41394629035396,10.837765707644364,Bearish,10.023513877973304,7.5814860934164665,8.802499985694885,Middle,16.34958801362898,0.6560607243294478,10.363617089770742,Sell,7.769999980926514,11.260000228881836,99889,117430.75,False,,,False,False,False,False,0.23419739874719347,5.809644723905993,-14.741031353183121,36.833333819761215,23.741035594798785,-51.99998569488866,-0.31386798166055263
AADHARHFC.NS,2025-03-07,426.70001220703125,67.45510982446588,0.7129487730205142,-3.824237888083447,4.537186661103961,Bullish,397.3580010986328,417.09425033569335,Bearish,397.50112486057446,414.8475994099898,Bearish,411.38054096382035,363.6594553740703,387.51999816894534,Upper,22.276071831933514,16.986654629582965,431.9550352263656,Sell,364.1499938964844,434.25,1158224,708890.95,False,,,False,False,False,False,6.44879773229694,12.083004603368487,8.588878725423822,86.59623886007938,73.66400923717731,-8.951040414663462,0.09542472227970514
AAREYDRUGS.NS,2025-03-07,40.599998474121094,41.1172268650951,-2.7553550577023103,-2.9655446781033965,0.21018962040108624,Bullish,48.02199996948242,55.23924995422363,Bearish,46.74422258244676,52.053474664472695,Bearish,49.690310107572394,34.396690167085815,42.043500137329104,Middle,33.67449724003526,3.0006548953444785,49.36339327968825,Sell,36.81999969482422,59.61000061035156,13024,20672.6,False,,,False,False,False,False,1.7798924425576734,9.051837156381382,-15.802576842968652,39.527071642285726,25.825770607523214,-44.254866884872534,-0.2538881348644983
AARTISURF.NS,2025-03-07,462.20001220703125,41.07254849394831,-35.99536578127305,-38.505406890605556,2.510041109332505,Bullish,555.6090020751953,657.8442509460449,Bearish,538.7825194376787,626.7867369818032,Bearish,586.3045130355318,375.1804936783354,480.7425033569336,Middle,48.837232891549846,26.287588290615073,524.8372727475798,Sell,410.3500061035156,655.2000122070312,26474,14440.1,False,,,False,False,True,False,0.7520462576634968,8.218217186119281,-23.06283608705264,42.519961477809005,26.937101752749516,-40.66041896162637,-0.3358981263962656
AARTIIND.NS,2025-03-07,406.29998779296875,46.08928913347802,-10.416497165324586,-10.03829160702469,-0.37820555829989644,Bearish,424.23900146484374,543.1121456909179,Bearish,425.9579609711838,536.5541059844701,Bearish,460.648582071398,368.73141975965666,414.6900009155273,Middle,26.109958823341035,15.440861255145014,437.4376975602362,Sell,376.0,469.95001220703125,727344,1079358.05,False,,,False,False,False,False,-1.1194952961412041,8.058507391747005,-13.543998885145726,60.50320670242155,44.86919469576645,-33.04211958234315,-0.09412959948532476
