Stock,Date,Price (₹),RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_Upper,BB_Lower,BB_Middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support (₹),Resistance (₹),Volume,Volume_SMA_20,Volume_Spike,52_Week_High (₹),52_Week_Low (₹),52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change (%),1w_Change (%),1m_Change (%),Stoch_K,Stoch_D,Williams_%R,CMF
360ONE.NS,2025-03-10,937.6500244140625,38.82832734406783,-21.382263305740025,-25.79679571740234,4.414532411662314,Bullish,1064.447999267578,1038.386848449707,Bullish,1033.4656320784886,992.930505784474,Bullish,1043.4910785067452,888.7139263760673,966.1025024414063,Middle,16.883460587018224,45.141819106863906,1097.2711183285842,Sell,884.6500244140625,1297.1500244140625,139201,906238.25,False,1297.1500244140625,645.7691040039062,False,False,False,False,,-4.184544471029261,-7.956217416486777,45.76686213294199,51.686718506556495,-65.70340967601393,-0.128185419059919
3PLAND.NS,2025-03-10,42.0,39.709576932131746,-2.461064288416914,-2.7806597103208115,0.31959542190389767,Bullish,49.67540008544922,44.47825003623962,Bullish,47.67043251108293,43.197554534575595,Bullish,47.548380142060175,38.738620514067755,43.143500328063965,Middle,33.31414940226671,2.674403977532261,50.14260253697852,Sell,39.130001068115234,62.63999938964844,2628,5450.05,False,78.16000366210938,27.0,False,False,False,False,,6.707315418471116,-14.198162726488395,46.48315837462002,37.868571782509605,-51.347875865162464,-0.0973067448669646
21STCENMGM.NS,2025-03-07,69.0,35.03789614204996,-3.233012790288683,-3.7347817677247344,0.5017689774360514,Bullish,79.8497999572754,89.88887939453124,Bearish,78.85517717300986,80.61934600803787,Bearish,79.54079453264085,63.334205467359155,71.4375,Middle,47.65226184312001,1.985498406179046,73.18078432612856,Sell,65.98999786376953,93.0,7072,3590.55,False,138.6300048828125,39.89883804321289,False,False,False,False,,-3.3748824233545527,-13.739215098475842,43.802203825405506,38.26197739983766,-55.99414633928701,-0.16858112963759883
AAATECH.NS,2025-03-10,83.69000244140625,41.71553497251976,-4.056062473234647,-4.528475993725712,0.4724135204910649,Bullish,93.77580017089844,111.17119041442871,Bearish,92.79237002485308,105.96689504312292,Bearish,94.80078067090967,74.77921887132665,84.78999977111816,Middle,28.526123346938515,4.90422402922581,100.11358531196858,Sell,77.88999938964844,106.66000366210938,31882,20740.9,False,146.22999572753906,77.88999938964844,False,False,False,False,,7.4464027438786,-16.058169505408603,41.53095436297041,30.660170369293656,-49.2182074396715,-0.2961280166225262
5PAISA.NS,2025-03-10,350.1499938964844,40.232973210615654,-15.26021429212443,-16.970181679083563,1.709967386959132,Bullish,398.2250006103516,480.46399917602537,Bearish,394.1592290941521,465.8729655159613,Bearish,390.6950035607964,329.5849921667426,360.1399978637695,Middle,46.787054612490884,17.636394415151198,405.8694570502265,Sell,327.6000061035156,482.20001220703125,6454,24556.8,False,592.2999877929688,327.6000061035156,False,False,False,False,,5.833455474360849,-12.121976868067108,44.256577618577474,34.89890841653317,-61.11112476184252,-0.21013305450402645
63MOONS.NS,2025-03-10,736.4000244140625,52.06247561810171,-5.772139937052657,-16.687627648712684,10.915487711660028,Bullish,766.9159985351563,547.1908729553222,Bullish,733.0206459290462,573.1597263157265,Bullish,784.6569495285055,610.7080468093852,697.6824981689454,Middle,13.089309612358674,41.67647933921788,759.169886326861,Sell,613.9500122070312,949.5999755859375,64848,198441.35,False,1031.6500244140625,323.2314758300781,False,False,False,False,,11.230275355634323,-4.907024638687496,74.0397511379878,69.92318688631445,-27.279537991943116,-0.24396320157424828
3MINDIA.NS,2025-03-10,27645.05078125,49.84101412180644,-375.4151071283086,-598.5253339892088,223.11022686090018,Bullish,28622.1280859375,33334.243447265624,Bearish,28544.79973641925,31599.935087626138,Bearish,28309.965115568702,25890.080196931296,27100.02265625,Middle,26.314486255110435,873.8858313242621,29175.27538828711,Sell,25982.5,30958.05078125,868,6947.5,False,40020.6015625,25982.5,False,False,False,False,,5.210669740221352,-1.8539233285109535,73.45810884925105,67.88276236137146,-30.600882249701566,0.033743240151011815
3IINFOLTD.NS,2025-03-10,23.799999237060547,38.35041678618341,-1.106240891407566,-1.0624096340478046,-0.043831257359761455,Bearish,27.388000030517578,31.476599950790405,Bearish,26.75846950977469,31.678212624211483,Bearish,28.374847964478462,22.19915239410308,25.28700017929077,Middle,22.20294660902007,1.3008334434547462,28.61541884033999,Sell,22.93000030517578,33.66999816894531,180964,612946.7,False,45.349998474121094,22.93000030517578,False,False,False,False,,3.794151418691394,-19.81132414978394,37.575747214207496,32.545137289737994,-70.31964643497747,-0.28143299365600755
A2ZINFRA.NS,2025-03-10,17.700000762939453,47.6104132490856,-0.925703703712454,-1.1065532893208836,0.18084958560842956,Bullish,20.27940013885498,19.270200066566467,Bullish,18.95224299082975,18.5231101567326,Bullish,20.270076610286765,14.793923710147807,17.532000160217287,Middle,16.662815775480233,1.114821113257579,20.04963204491086,Sell,15.270000457763672,26.6200008392334,84753,203073.25,False,26.6200008392334,12.300000190734863,False,False,False,False,,15.913557513616873,-16.351602596518056,55.861121239129744,44.06480734969383,-36.62549187326177,-0.16056990837395016
20MICRONS.NS,2025-03-10,209.05999755859375,63.22071441416026,-0.29683159578132745,-5.895779581183314,5.598947985401987,Bullish,203.72320098876952,242.01949340820312,Bearish,200.93939862597023,219.17256642818145,Bearish,204.8653332285605,155.58666872456448,180.2260009765625,Upper,26.073738388058395,12.263554749709188,210.86752774651688,Sell,167.6699981689453,261.0299987792969,72644,129621.1,False,339.0,136.32577514648438,False,False,False,False,,21.341926812542546,13.82989948274982,85.04540172835118,82.32037826528209,-15.96713978264881,0.04252161414610924
