Stock,Date,Price,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Trend,SMA_50,SMA_200,SMA_Trend,EMA_50,EMA_200,EMA_Trend,BB_upper,BB_lower,BB_middle,BB_Position,ADX,ATR,Supertrend,Supertrend_Signal,Support,Resistance,Volume,Volume_SMA_20,Volume_Spike,52_Week_High,52_Week_Low,52_Week_High_Breakout,52_Week_Low_Breakout,Gap_Up,Gap_Down,1d_Change_Pct,1w_Change_Pct,1m_Change_Pct,Stoch_K,Stoch_D,Williams_%R,CMF
AARTIPHARM.NS,2025-03-28,749.25,53.07931325286229,6.628144009379639,10.884261745833706,-4.256117736454067,Bearish,708.8391186523437,648.8227813720703,Bullish,718.827971685843,647.3162083456722,Bullish,778.8427613175286,712.0422362410652,745.4424987792969,Middle,16.144823854111184,35.47128664496495,641.8100009986363,Buy,582.5650024414062,808.9000244140625,389376,557264.75,False,,,False,False,False,False,0.43565683646111797,-1.5569538780782044,1.2158054711246091,39.207486200247295,31.30218909305735,-53.106338977686804,-0.016443244541383968
AARVEEDEN.NS,2025-03-28,139.0399932861328,43.870216641719296,0.11422645227952444,1.527554802352539,-1.4133283500730145,Bearish,140.64459945678712,78.73319999694824,Bullish,136.64069510358135,85.74658888278667,Bullish,153.552130752501,133.30386595160059,143.4279983520508,Middle,20.369768434428497,6.599452396865578,163.06375226530923,Sell,124.2699966430664,156.44000244140625,30492,36048.5,False,,,False,False,False,False,0.1945586260426957,-4.754077712373173,-7.195310046112457,20.8456779273349,28.66485671547946,-69.09091989996578,-0.12458992043484943
ABBOTINDIA.NS,2025-03-28,30720.55078125,56.87419390362937,367.97559767179337,419.06377136691185,-51.088173695118485,Bearish,29053.275078125,28556.957939453125,Bullish,29639.085892150084,28381.853367901545,Bullish,31604.144783454478,29602.435489983025,30603.29013671875,Middle,12.283262048288101,780.4504838336511,27837.973830736682,Buy,25501.849609375,31539.900390625,5774,11809.0,False,,,False,False,False,False,0.4952718302286607,1.4143990591606315,2.5257211839305738,54.85473452707611,56.92694179252882,-35.79318792936045,0.1377082689675878
AIIL.NS,2025-03-28,1730.449951171875,63.730806708364106,9.320504692616623,-20.128715631005086,29.44922032362171,Bullish,1619.8117822265624,1542.8676065063476,Bullish,1601.307297689743,1462.5594182516402,Bullish,1677.2156977006675,1378.6238042524574,1527.9197509765625,Upper,21.38397528306735,83.88437708037195,1768.0856683928187,Sell,1408.6822509765625,1883.6728515625,158890,122786.25,False,,,False,False,False,False,4.777324332358823,11.563515595333884,15.430796222206045,82.54850181019758,74.23148055386706,-5.650063538453054,0.41938108106712396
ALPA.NS,2025-03-28,103.5999984741211,43.835215381236466,-0.8386920438072423,-0.8417921505644139,0.00310010675717165,Bullish,110.44099945068359,109.0778997039795,Bullish,109.76044638932164,106.24134348844294,Bullish,115.33182779513548,96.02717031277469,105.67949905395508,Middle,14.029891553995434,5.786208318456314,119.30237342442175,Sell,96.37999725341797,129.1199951171875,43589,43694.5,False,,,False,False,False,False,0.8861583514267357,-7.870163374210248,-1.828864140529507,17.857976743311834,38.032084487735965,-83.96947817786078,-0.2619549123612061
AMBER.NS,2025-03-28,7210.85009765625,64.11215544713914,227.2927016582198,145.25311074756587,82.03959091065394,Bullish,6440.312958984375,5589.932486572266,Bullish,6513.547476972004,5517.107786662676,Bullish,7501.067235591385,5516.242725346116,6508.65498046875,Middle,25.811662109137384,319.3297099819841,6003.521102049925,Buy,5514.25,7248.5,511573,646309.4,False,,,False,False,False,False,1.1155090256682376,4.648399649485979,21.199928303398742,79.09749069767366,75.30230580467655,-11.500869801241166,0.12914517200698047
AMIORG.NS,2025-03-28,2440.800048828125,57.68801481074705,41.025746571317086,28.165485145775754,12.860261425541331,Bullish,2280.975,1829.4343212890626,Bullish,2280.798170936187,1846.6006212281745,Bullish,2553.545103641323,2103.6999403039895,2328.622521972656,Middle,16.53161301481991,120.72601950605696,2095.185216046522,Buy,1881.8499755859375,2626.699951171875,287308,286230.75,False,,,False,False,False,False,1.7720885266531372,0.7096860240477953,9.945948145411032,66.04082999940438,68.76734908802621,-26.24692045941893,0.1173636840409238
ANIKINDS.NS,2025-03-28,122.0199966430664,69.63334605466315,4.7090743902684835,1.5230458796712114,3.1860285105972723,Bullish,97.53279998779297,87.49390012741088,Bullish,99.76563124890484,84.54890943987434,Bullish,117.50504566058108,79.20295528546386,98.35400047302247,Upper,20.28607313825601,8.037726358493689,88.63534613524601,Buy,90.3499984741211,122.0199966430664,44860,22030.65,True,,,False,False,False,False,4.639392851726476,22.423998078375405,28.078094827923785,76.32592472029322,74.87265654159114,-2.9037136501736116,0.2295594688658363
ARIHANTSUP.NS,2025-03-28,412.29998779296875,53.38660916597022,-7.149898926184164,-13.400737963012382,6.250839036828218,Bullish,433.6710009765625,388.57278854370117,Bullish,417.70447777229566,390.2065376535392,Bullish,419.6086265251475,362.64636920239155,391.1274978637695,Middle,21.063179530954134,21.00926304462762,435.98666311475336,Sell,360.54998779296875,523.9500122070312,27050,51226.85,False,,,False,False,False,False,1.8024661217206805,7.607984956502389,0.10925863367354793,79.57583792015377,78.56560337979538,-15.655863270907878,-0.09616757181673387
ARTEMISMED.NS,2025-03-28,273.4599914550781,60.03680643360726,-0.06371770192964732,-5.505239315032643,5.441521613102996,Bullish,270.0737991333008,269.13076751708985,Bullish,266.57230598188477,254.7940546735887,Bullish,273.7900646982767,213.48393127340302,243.63699798583986,Middle,22.817496348337617,15.764872526308974,285.77741295073423,Sell,218.35000610351562,319.29998779296875,239002,150050.95,False,,,False,False,False,False,4.473731214929555,5.245739747987721,8.96991224569672,80.71809937110827,81.91060316320436,-12.08677058335973,0.159379477869215
